gateway_transaction_id,payment_id,order_id,customer_id,amount,currency,payment_method,status,transaction_date,captured_at,fee,tax,net_amount
GW1022,pay_1022,ORD1022,CUST_023,34800.0,INR,UPI,captured,2026-08-23 14:44:00,2026-08-23 14:44:00,696.0,125.28,33978.72
GW1023,pay_1023,ORD1023,CUST_024,31600.0,INR,CREDIT_CARD,captured,2026-08-24 12:34:00,2026-08-24 12:34:00,632.0,113.76,30854.24
GW1024,pay_1024,ORD1024,CUST_025,8800.0,INR,NET_BANKING,captured,2026-08-25 17:24:00,2026-08-25 17:24:00,176.0,31.68,8592.32
GW1025,pay_1025,ORD1025,CUST_026,47800.0,INR,NET_BANKING,captured,2026-08-01 18:14:00,2026-08-01 18:14:00,956.0,172.08,46671.92
GW1026,pay_1026,ORD1026,CUST_027,43600.0,INR,UPI,captured,2026-08-02 10:14:00,2026-08-02 10:14:00,872.0,156.96,42571.04
GW1027,pay_1027,ORD1027,CUST_028,41700.0,INR,NET_BANKING,captured,2026-08-03 15:25:00,2026-08-03 15:25:00,834.0,150.12,40715.88
GW1028,pay_1028,ORD1028,CUST_029,3800.0,INR,NET_BANKING,captured,2026-08-04 13:58:00,2026-08-04 13:58:00,76.0,13.68,3710.32
GW1029,pay_1029,ORD1029,CUST_030,11300.0,INR,DEBIT_CARD,captured,2026-08-05 17:25:00,2026-08-05 17:25:00,226.0,40.68,11033.32
GW1030,pay_1030,ORD1030,CUST_031,7800.0,INR,CREDIT_CARD,captured,2026-08-06 14:08:00,2026-08-06 14:08:00,156.0,28.08,7615.92
GW1031,pay_1031,ORD1031,CUST_032,38600.0,INR,NET_BANKING,captured,2026-08-07 18:34:00,2026-08-07 18:34:00,772.0,138.96,37689.04
GW1032,pay_1032,ORD1032,CUST_033,38700.0,INR,DEBIT_CARD,captured,2026-08-08 16:57:00,2026-08-08 16:57:00,774.0,139.32,37786.68
GW1033,pay_1033,ORD1033,CUST_034,19000.0,INR,DEBIT_CARD,captured,2026-08-09 13:08:00,2026-08-09 13:08:00,380.0,68.4,18551.6
GW1034,pay_1034,ORD1034,CUST_035,5100.0,INR,UPI,captured,2026-08-10 10:55:00,2026-08-10 10:55:00,102.0,18.36,4979.64
GW1035,pay_1035,ORD1035,CUST_036,8300.0,INR,DEBIT_CARD,captured,2026-08-11 12:50:00,2026-08-11 12:50:00,166.0,29.88,8104.12
GW1036,pay_1036,ORD1036,CUST_037,31000.0,INR,DEBIT_CARD,captured,2026-08-12 11:24:00,2026-08-12 11:24:00,620.0,111.6,30268.4
GW1037,pay_1037,ORD1037,CUST_038,31000.0,INR,NET_BANKING,captured,2026-08-13 17:33:00,2026-08-13 17:33:00,620.0,111.6,30268.4
GW1038,pay_1038,ORD1038,CUST_039,28800.0,INR,UPI,captured,2026-08-14 10:43:00,2026-08-14 10:43:00,576.0,103.68,28120.32
GW1039,pay_1039,ORD1039,CUST_040,35400.0,INR,NET_BANKING,captured,2026-08-15 18:48:00,2026-08-15 18:48:00,708.0,127.44,34564.56
GW1040,pay_1040,ORD1040,CUST_041,39800.0,INR,NET_BANKING,captured,2026-08-16 15:07:00,2026-08-16 15:07:00,796.0,143.28,38860.72
GW1041,pay_1041,ORD1041,CUST_042,22700.0,INR,UPI,captured,2026-08-17 12:29:00,2026-08-17 12:29:00,454.0,81.72,22164.28
GW1042,pay_1042,ORD1042,CUST_043,49300.0,INR,CREDIT_CARD,captured,2026-08-18 14:32:00,2026-08-18 14:32:00,986.0,177.48,48136.52
GW1043,pay_1043,ORD1043,CUST_044,26400.0,INR,NET_BANKING,captured,2026-08-19 11:55:00,2026-08-19 11:55:00,528.0,95.04,25776.96
GW1044,pay_1044,ORD1044,CUST_045,43500.0,INR,CREDIT_CARD,captured,2026-08-20 18:38:00,2026-08-20 18:38:00,870.0,156.6,42473.4
GW1045,pay_1045,ORD1045,CUST_046,8300.0,INR,CREDIT_CARD,captured,2026-08-21 15:48:00,2026-08-21 15:48:00,166.0,29.88,8104.12
GW1046,pay_1046,ORD1046,CUST_047,28100.0,INR,UPI,captured,2026-08-22 18:58:00,2026-08-22 18:58:00,562.0,101.16,27436.84
GW1047,pay_1047,ORD1047,CUST_048,31100.0,INR,UPI,captured,2026-08-23 15:31:00,2026-08-23 15:31:00,622.0,111.96,30366.04
GW1048,pay_1048,ORD1048,CUST_049,6200.0,INR,NET_BANKING,captured,2026-08-24 15:56:00,2026-08-24 15:56:00,124.0,22.32,6053.68
GW1049,pay_1049,ORD1049,CUST_050,12700.0,INR,UPI,captured,2026-08-25 10:15:00,2026-08-25 10:15:00,254.0,45.72,12400.28
GW1050,pay_1050,ORD1050,CUST_001,4800.0,INR,UPI,captured,2026-08-01 17:52:00,2026-08-01 17:52:00,96.0,17.28,4686.72
GW1051,pay_1051,ORD1051,CUST_002,39400.0,INR,CREDIT_CARD,captured,2026-08-02 18:49:00,2026-08-02 18:49:00,788.0,141.84,38470.16
GW1052,pay_1052,ORD1052,CUST_003,7000.0,INR,CREDIT_CARD,captured,2026-08-03 17:35:00,2026-08-03 17:35:00,140.0,25.2,6834.8
GW1053,pay_1053,ORD1053,CUST_004,14000.0,INR,DEBIT_CARD,captured,2026-08-04 18:55:00,2026-08-04 18:55:00,280.0,50.4,13669.6
GW1054,pay_1054,ORD1054,CUST_005,49800.0,INR,CREDIT_CARD,captured,2026-08-05 13:59:00,2026-08-05 13:59:00,996.0,179.28,48624.72
GW1055,pay_1055,ORD1055,CUST_006,37000.0,INR,NET_BANKING,captured,2026-08-06 14:25:00,2026-08-06 14:25:00,740.0,133.2,36126.8
GW1056,pay_1056,ORD1056,CUST_007,22900.0,INR,UPI,captured,2026-08-07 18:28:00,2026-08-07 18:28:00,458.0,82.44,22359.56
GW1057,pay_1057,ORD1057,CUST_008,13100.0,INR,UPI,captured,2026-08-08 13:04:00,2026-08-08 13:04:00,262.0,47.16,12790.84
GW1058,pay_1058,ORD1058,CUST_009,30600.0,INR,UPI,captured,2026-08-09 18:14:00,2026-08-09 18:14:00,612.0,110.16,29877.84
GW1059,pay_1059,ORD1059,CUST_010,4100.0,INR,UPI,captured,2026-08-10 10:14:00,2026-08-10 10:14:00,82.0,14.76,4003.24
GW1060,pay_1060,ORD1060,CUST_011,44500.0,INR,NET_BANKING,captured,2026-08-11 15:04:00,2026-08-11 15:04:00,890.0,160.2,43449.8
GW1061,pay_1061,ORD1061,CUST_012,34700.0,INR,DEBIT_CARD,captured,2026-08-12 17:13:00,2026-08-12 17:13:00,694.0,124.92,33881.08
GW1062,pay_1062,ORD1062,CUST_013,12900.0,INR,CREDIT_CARD,captured,2026-08-13 17:51:00,2026-08-13 17:51:00,258.0,46.44,12595.56
GW1063,pay_1063,ORD1063,CUST_014,5300.0,INR,NET_BANKING,captured,2026-08-14 11:42:00,2026-08-14 11:42:00,106.0,19.08,5174.92
GW1064,pay_1064,ORD1064,CUST_015,22100.0,INR,UPI,captured,2026-08-15 16:29:00,2026-08-15 16:29:00,442.0,79.56,21578.44
GW1065,pay_1065,ORD1065,CUST_016,3600.0,INR,UPI,captured,2026-08-16 16:46:00,2026-08-16 16:46:00,72.0,12.96,3515.04
GW1066,pay_1066,ORD1066,CUST_017,13200.0,INR,CREDIT_CARD,captured,2026-08-17 13:12:00,2026-08-17 13:12:00,264.0,47.52,12888.48
GW1067,pay_1067,ORD1067,CUST_018,22100.0,INR,DEBIT_CARD,captured,2026-08-18 12:17:00,2026-08-18 12:17:00,442.0,79.56,21578.44
GW1068,pay_1068,ORD1068,CUST_019,13200.0,INR,UPI,captured,2026-08-19 11:28:00,2026-08-19 11:28:00,264.0,47.52,12888.48
GW1069,pay_1069,ORD1069,CUST_020,3000.0,INR,UPI,captured,2026-08-20 18:53:00,2026-08-20 18:53:00,60.0,10.8,2929.2
GW1070,pay_1070,ORD1070,CUST_021,5200.0,INR,DEBIT_CARD,captured,2026-08-21 13:10:00,2026-08-21 13:10:00,104.0,18.72,5077.28
GW1071,pay_1071,ORD1071,CUST_022,25300.0,INR,DEBIT_CARD,captured,2026-08-22 17:13:00,2026-08-22 17:13:00,506.0,91.08,24702.92
GW1072,pay_1072,ORD1072,CUST_023,46700.0,INR,DEBIT_CARD,captured,2026-08-23 10:10:00,2026-08-23 10:10:00,934.0,168.12,45597.88
GW1073,pay_1073,ORD1073,CUST_024,600.0,INR,DEBIT_CARD,captured,2026-08-24 16:16:00,2026-08-24 16:16:00,12.0,2.16,585.84
GW1074,pay_1074,ORD1074,CUST_025,15100.0,INR,DEBIT_CARD,captured,2026-08-25 16:44:00,2026-08-25 16:44:00,302.0,54.36,14743.64
GW1080_DUP,pay_1080,ORD1080,CUST_031,47500.0,INR,UPI,captured,2026-08-06 18:10:00,2026-08-06 18:10:00,950.0,171.0,46379.0
GW1080,pay_1080,ORD1080,CUST_031,47500.0,INR,UPI,captured,2026-08-06 18:10:00,2026-08-06 18:10:00,950.0,171.0,46379.0
GW1081_DUP,pay_1081,ORD1081,CUST_032,3400.0,INR,UPI,captured,2026-08-07 18:05:00,2026-08-07 18:05:00,68.0,12.24,3319.76
GW1081,pay_1081,ORD1081,CUST_032,3400.0,INR,UPI,captured,2026-08-07 18:05:00,2026-08-07 18:05:00,68.0,12.24,3319.76
GW1082_DUP,pay_1082,ORD1082,CUST_033,44000.0,INR,UPI,captured,2026-08-08 12:04:00,2026-08-08 12:04:00,880.0,158.4,42961.6
GW1082,pay_1082,ORD1082,CUST_033,44000.0,INR,UPI,captured,2026-08-08 12:04:00,2026-08-08 12:04:00,880.0,158.4,42961.6
GW1083_DUP,pay_1083,ORD1083,CUST_034,30900.0,INR,UPI,captured,2026-08-09 11:43:00,2026-08-09 11:43:00,618.0,111.24,30170.76
GW1083,pay_1083,ORD1083,CUST_034,30900.0,INR,UPI,captured,2026-08-09 11:43:00,2026-08-09 11:43:00,618.0,111.24,30170.76
GW1084_DUP,pay_1084,ORD1084,CUST_035,44600.0,INR,UPI,captured,2026-08-10 13:25:00,2026-08-10 13:25:00,892.0,160.56,43547.44
GW1084,pay_1084,ORD1084,CUST_035,44600.0,INR,UPI,captured,2026-08-10 13:25:00,2026-08-10 13:25:00,892.0,160.56,43547.44
GW1085,pay_1085,ORD1085,CUST_036,6600.0,INR,UPI,captured,2026-08-11 13:37:00,2026-08-11 13:37:00,132.0,23.76,6444.24
GW1086,pay_1086,ORD1086,CUST_037,32200.0,INR,NET_BANKING,captured,2026-08-12 11:26:00,2026-08-12 11:26:00,644.0,115.92,31440.08
GW1087,pay_1087,ORD1087,CUST_038,48300.0,INR,NET_BANKING,captured,2026-08-13 14:13:00,2026-08-13 14:13:00,966.0,173.88,47160.12
GW1088,pay_1088,ORD1088,CUST_039,12700.0,INR,CREDIT_CARD,captured,2026-08-14 14:25:00,2026-08-14 14:25:00,254.0,45.72,12400.28
GW1089,pay_1089,ORD1089,CUST_040,34800.0,INR,NET_BANKING,captured,2026-08-15 14:29:00,2026-08-15 14:29:00,696.0,125.28,33978.72
GW1090,pay_1090,ORD1090,CUST_041,48000.0,INR,DEBIT_CARD,captured,2026-08-16 11:00:00,2026-08-16 11:00:00,960.0,172.8,46867.2
GW1091,pay_1091,ORD1091,CUST_042,32300.0,INR,CREDIT_CARD,captured,2026-08-17 11:04:00,2026-08-17 11:04:00,646.0,116.28,31537.72
GW1092,pay_1092,ORD1092,CUST_043,26400.0,INR,NET_BANKING,captured,2026-08-18 14:08:00,2026-08-18 14:08:00,528.0,95.04,25776.96
GW1093,pay_1093,ORD1093,CUST_044,45600.0,INR,CREDIT_CARD,captured,2026-08-19 11:56:00,2026-08-19 11:56:00,912.0,164.16,44523.84
GW1094,pay_1094,ORD1094,CUST_045,19400.0,INR,DEBIT_CARD,captured,2026-08-20 14:10:00,2026-08-20 14:10:00,388.0,69.84,18942.16
GW1095,pay_1095,ORD1095,CUST_046,25860.0,INR,NET_BANKING,captured,2026-08-21 18:45:00,2026-08-21 18:45:00,517.2,93.1,25249.7
GW1096,pay_1096,ORD1096,CUST_047,19080.0,INR,NET_BANKING,captured,2026-08-22 18:00:00,2026-08-22 18:00:00,381.6,68.69,18629.71
GW1097,pay_1097,ORD1097,CUST_048,28920.0,INR,CREDIT_CARD,captured,2026-08-23 11:56:00,2026-08-23 11:56:00,578.4,104.11,28237.49
GW1098,pay_1098,ORD1098,CUST_049,8400.0,INR,UPI,captured,2026-08-24 11:56:00,2026-08-24 11:56:00,168.0,30.24,8201.76
GW1099,pay_1099,ORD1099,CUST_050,38500.0,INR,NET_BANKING,failed,2026-08-25 18:09:00,,0.0,0.0,0.0
GW1100,pay_1100,ORD1100,CUST_001,14900.0,INR,NET_BANKING,failed,2026-08-01 13:45:00,,0.0,0.0,0.0
GW1101,pay_1101,ORD1101,CUST_002,10900.0,INR,DEBIT_CARD,failed,2026-08-02 14:32:00,,0.0,0.0,0.0
