invoice_id,order_id,customer_id,customer_name,invoice_amount,expected_payment,invoice_date,payment_status,reference_id
HO_INV5022,HO_ORD5022,CUST_023,Customer 023,39900.0,39900.0,2026-08-23,PAID,HO_pay_5022
HO_INV5023,HO_ORD5023,CUST_024,Customer 024,44300.0,44300.0,2026-08-24,PAID,HO_pay_5023
HO_INV5024,HO_ORD5024,CUST_025,Customer 025,27300.0,27300.0,2026-08-25,PAID,HO_pay_5024
HO_INV5025,HO_ORD5025,CUST_026,Customer 026,3100.0,3100.0,2026-08-01,PAID,HO_pay_5025
HO_INV5026,HO_ORD5026,CUST_027,Customer 027,23900.0,23900.0,2026-08-02,PAID,HO_pay_5026
HO_INV5027,HO_ORD5027,CUST_028,Customer 028,13300.0,13300.0,2026-08-03,PAID,HO_pay_5027
HO_INV5028,HO_ORD5028,CUST_029,Customer 029,29200.0,29200.0,2026-08-04,PAID,HO_pay_5028
HO_INV5029,HO_ORD5029,CUST_030,Customer 030,22700.0,22700.0,2026-08-05,PAID,HO_pay_5029
HO_INV5030,HO_ORD5030,CUST_031,Customer 031,28000.0,28000.0,2026-08-06,PAID,HO_pay_5030
HO_INV5031,HO_ORD5031,CUST_032,Customer 032,31900.0,31900.0,2026-08-07,PAID,HO_pay_5031
HO_INV5032,HO_ORD5032,CUST_033,Customer 033,49300.0,49300.0,2026-08-08,PAID,HO_pay_5032
HO_INV5033,HO_ORD5033,CUST_034,Customer 034,44300.0,44300.0,2026-08-09,PAID,HO_pay_5033
HO_INV5034,HO_ORD5034,CUST_035,Customer 035,50000.0,50000.0,2026-08-10,PAID,HO_pay_5034
HO_INV5035,HO_ORD5035,CUST_036,Customer 036,29300.0,29300.0,2026-08-11,PAID,HO_pay_5035
HO_INV5036,HO_ORD5036,CUST_037,Customer 037,20400.0,20400.0,2026-08-12,PAID,HO_pay_5036
HO_INV5037,HO_ORD5037,CUST_038,Customer 038,38800.0,38800.0,2026-08-13,PAID,HO_pay_5037
HO_INV5038,HO_ORD5038,CUST_039,Customer 039,40900.0,40900.0,2026-08-14,PAID,HO_pay_5038
HO_INV5039,HO_ORD5039,CUST_040,Customer 040,18600.0,18600.0,2026-08-15,PAID,HO_pay_5039
HO_INV5040,HO_ORD5040,CUST_041,Customer 041,47700.0,47700.0,2026-08-16,PAID,HO_pay_5040
HO_INV5041,HO_ORD5041,CUST_042,Customer 042,14800.0,14800.0,2026-08-17,PAID,HO_pay_5041
HO_INV5042,HO_ORD5042,CUST_043,Customer 043,17700.0,17700.0,2026-08-18,PAID,HO_pay_5042
HO_INV5043,HO_ORD5043,CUST_044,Customer 044,20500.0,20500.0,2026-08-19,PAID,HO_pay_5043
HO_INV5044,HO_ORD5044,CUST_045,Customer 045,9600.0,9600.0,2026-08-20,PAID,HO_pay_5044
HO_INV5045,HO_ORD5045,CUST_046,Customer 046,35200.0,35200.0,2026-08-21,PAID,HO_pay_5045
HO_INV5046,HO_ORD5046,CUST_047,Customer 047,15500.0,15500.0,2026-08-22,PAID,HO_pay_5046
HO_INV5047,HO_ORD5047,CUST_048,Customer 048,37800.0,37800.0,2026-08-23,PAID,HO_pay_5047
HO_INV5048,HO_ORD5048,CUST_049,Customer 049,44800.0,44800.0,2026-08-24,PAID,HO_pay_5048
HO_INV5049,HO_ORD5049,CUST_050,Customer 050,28200.0,28200.0,2026-08-25,PAID,HO_pay_5049
HO_INV5050,HO_ORD5050,CUST_001,Customer 001,600.0,600.0,2026-08-01,PAID,HO_pay_5050
HO_INV5051,HO_ORD5051,CUST_002,Customer 002,7300.0,7300.0,2026-08-02,PAID,HO_pay_5051
HO_INV5052,HO_ORD5052,CUST_003,Customer 003,17700.0,17700.0,2026-08-03,PAID,HO_pay_5052
HO_INV5053,HO_ORD5053,CUST_004,Customer 004,3300.0,3300.0,2026-08-04,PAID,HO_pay_5053
HO_INV5054,HO_ORD5054,CUST_005,Customer 005,8600.0,8600.0,2026-08-05,PAID,HO_pay_5054
HO_INV5055,HO_ORD5055,CUST_006,Customer 006,30400.0,30400.0,2026-08-06,PAID,HO_pay_5055
HO_INV5056,HO_ORD5056,CUST_007,Customer 007,4100.0,4100.0,2026-08-07,PAID,HO_pay_5056
HO_INV5057,HO_ORD5057,CUST_008,Customer 008,45200.0,45200.0,2026-08-08,PENDING_RECONCILIATION,HO_pay_5057
HO_INV5058,HO_ORD5058,CUST_009,Customer 009,38200.0,38200.0,2026-08-09,PENDING_RECONCILIATION,HO_pay_5058
HO_INV5059,HO_ORD5059,CUST_010,Customer 010,23200.0,23200.0,2026-08-10,PENDING_RECONCILIATION,HO_pay_5059
HO_INV5060,HO_ORD5060,CUST_011,Customer 011,6700.0,6700.0,2026-08-11,PENDING_RECONCILIATION,HO_pay_5060
HO_INV5061,HO_ORD5061,CUST_012,Customer 012,3400.0,3400.0,2026-08-12,PENDING_RECONCILIATION,HO_pay_5061
HO_INV5062,HO_ORD5062,CUST_013,Customer 013,40100.0,40100.0,2026-08-13,PENDING_RECONCILIATION,HO_pay_5062
HO_INV5063,HO_ORD5063,CUST_014,Customer 014,39600.0,39600.0,2026-08-14,PENDING_RECONCILIATION,HO_pay_5063
HO_INV5064,HO_ORD5064,CUST_015,Customer 015,36900.0,36900.0,2026-08-15,PENDING_RECONCILIATION,HO_pay_5064
HO_INV5065,HO_ORD5065,CUST_016,Customer 016,8900.0,8900.0,2026-08-16,PENDING_RECONCILIATION,HO_pay_5065
HO_INV5066,HO_ORD5066,CUST_017,Customer 017,35300.0,35300.0,2026-08-17,PENDING_RECONCILIATION,HO_pay_5066
HO_INV5067,HO_ORD5067,CUST_018,Customer 018,4200.0,4200.0,2026-08-18,AWAITING_BANK_CREDIT,HO_pay_5067
HO_INV5068,HO_ORD5068,CUST_019,Customer 019,16100.0,16100.0,2026-08-19,AWAITING_BANK_CREDIT,HO_pay_5068
HO_INV5069,HO_ORD5069,CUST_020,Customer 020,46200.0,46200.0,2026-08-20,AWAITING_BANK_CREDIT,HO_pay_5069
HO_INV5070,HO_ORD5070,CUST_021,Customer 021,32000.0,32000.0,2026-08-21,AWAITING_BANK_CREDIT,HO_pay_5070
HO_INV5071,HO_ORD5071,CUST_022,Customer 022,24800.0,24800.0,2026-08-22,AWAITING_BANK_CREDIT,HO_pay_5071
HO_INV5072,HO_ORD5072,CUST_023,Customer 023,41200.0,41200.0,2026-08-23,AWAITING_BANK_CREDIT,HO_pay_5072
HO_INV5073,HO_ORD5073,CUST_024,Customer 024,37900.0,37900.0,2026-08-24,AWAITING_BANK_CREDIT,HO_pay_5073
HO_INV5074,HO_ORD5074,CUST_025,Customer 025,29900.0,29900.0,2026-08-25,AWAITING_BANK_CREDIT,HO_pay_5074
HO_INV5075,HO_ORD5075,CUST_026,Customer 026,25600.0,25600.0,2026-08-01,MANUAL_BANK_TRANSFER,NEFT_5075
HO_INV5076,HO_ORD5076,CUST_027,Customer 027,11600.0,11600.0,2026-08-02,MANUAL_BANK_TRANSFER,NEFT_5076
HO_INV5077,HO_ORD5077,CUST_028,Customer 028,13100.0,13100.0,2026-08-03,MANUAL_BANK_TRANSFER,NEFT_5077
HO_INV5078,HO_ORD5078,CUST_029,Customer 029,12900.0,12900.0,2026-08-04,MANUAL_BANK_TRANSFER,NEFT_5078
HO_INV5079,HO_ORD5079,CUST_030,Customer 030,48000.0,48000.0,2026-08-05,MANUAL_BANK_TRANSFER,NEFT_5079
HO_INV5080,HO_ORD5080,CUST_031,Customer 031,15400.0,15400.0,2026-08-06,PAID,HO_pay_5080
HO_INV5081,HO_ORD5081,CUST_032,Customer 032,15000.0,15000.0,2026-08-07,PAID,HO_pay_5081
HO_INV5082,HO_ORD5082,CUST_033,Customer 033,36700.0,36700.0,2026-08-08,PAID,HO_pay_5082
HO_INV5083,HO_ORD5083,CUST_034,Customer 034,19400.0,19400.0,2026-08-09,PAID,HO_pay_5083
HO_INV5084,HO_ORD5084,CUST_035,Customer 035,30700.0,30700.0,2026-08-10,PAID,HO_pay_5084
HO_INV5085,HO_ORD5085,CUST_036,Customer 036,49200.0,49200.0,2026-08-11,PAID,HO_pay_5085
HO_INV5086,HO_ORD5086,CUST_037,Customer 037,16400.0,16400.0,2026-08-12,PAID,HO_pay_5086
HO_INV5087,HO_ORD5087,CUST_038,Customer 038,25800.0,25800.0,2026-08-13,PAID,HO_pay_5087
HO_INV5088,HO_ORD5088,CUST_039,Customer 039,29000.0,29000.0,2026-08-14,PAID,HO_pay_5088
HO_INV5089,HO_ORD5089,CUST_040,Customer 040,27500.0,27500.0,2026-08-15,PAID,HO_pay_5089
HO_INV5090,HO_ORD5090,CUST_041,Customer 041,16200.0,16200.0,2026-08-16,PAID,HO_pay_5090
HO_INV5091,HO_ORD5091,CUST_042,Customer 042,43000.0,43000.0,2026-08-17,PAID,HO_pay_5091
HO_INV5092,HO_ORD5092,CUST_043,Customer 043,15900.0,15900.0,2026-08-18,PAID,HO_pay_5092
HO_INV5093,HO_ORD5093,CUST_044,Customer 044,26700.0,26700.0,2026-08-19,PAID,HO_pay_5093
HO_INV5094,HO_ORD5094,CUST_045,Customer 045,32600.0,32600.0,2026-08-20,PAID,HO_pay_5094
HO_INV5095,HO_ORD5095,CUST_046,Customer 046,45200.0,45200.0,2026-08-21,PARTIALLY_PAID,HO_pay_5095
HO_INV5096,HO_ORD5096,CUST_047,Customer 047,5100.0,5100.0,2026-08-22,PARTIALLY_PAID,HO_pay_5096
HO_INV5097,HO_ORD5097,CUST_048,Customer 048,17300.0,17300.0,2026-08-23,PARTIALLY_PAID,HO_pay_5097
HO_INV5098,HO_ORD5098,CUST_049,Customer 049,29600.0,29600.0,2026-08-24,PARTIALLY_PAID,HO_pay_5098
HO_INV5099,HO_ORD5099,CUST_050,Customer 050,36700.0,36700.0,2026-08-25,UNPAID,HO_pay_5099
HO_INV5100,HO_ORD5100,CUST_001,Customer 001,34700.0,34700.0,2026-08-01,UNPAID,HO_pay_5100
HO_INV5101,HO_ORD5101,CUST_002,Customer 002,9100.0,9100.0,2026-08-02,UNPAID,HO_pay_5101
