bank_transaction_id,bank_reference,transaction_date,value_date,description,credit_amount,debit_amount,balance,bank_account,transaction_type
BNK1030,pay_1030,2026-08-07,2026-08-07,Razorpay Settlement - pay_1030 / ORD1030,7800.0,0.0,5007800.0,HDFC_DEMO_009988,CREDIT
BNK1031,pay_1031,2026-08-08,2026-08-08,Razorpay Settlement - pay_1031 / ORD1031,38600.0,0.0,5038600.0,HDFC_DEMO_009988,CREDIT
BNK1032,pay_1032,2026-08-09,2026-08-09,Razorpay Settlement - pay_1032 / ORD1032,38700.0,0.0,5038700.0,HDFC_DEMO_009988,CREDIT
BNK1033,pay_1033,2026-08-10,2026-08-10,Razorpay Settlement - pay_1033 / ORD1033,19000.0,0.0,5019000.0,HDFC_DEMO_009988,CREDIT
BNK1034,pay_1034,2026-08-11,2026-08-11,Razorpay Settlement - pay_1034 / ORD1034,5100.0,0.0,5005100.0,HDFC_DEMO_009988,CREDIT
BNK1035,pay_1035,2026-08-12,2026-08-12,Razorpay Settlement - pay_1035 / ORD1035,8300.0,0.0,5008300.0,HDFC_DEMO_009988,CREDIT
BNK1036,pay_1036,2026-08-13,2026-08-13,Razorpay Settlement - pay_1036 / ORD1036,31000.0,0.0,5031000.0,HDFC_DEMO_009988,CREDIT
BNK1037,pay_1037,2026-08-14,2026-08-14,Razorpay Settlement - pay_1037 / ORD1037,31000.0,0.0,5031000.0,HDFC_DEMO_009988,CREDIT
BNK1038,pay_1038,2026-08-15,2026-08-15,Razorpay Settlement - pay_1038 / ORD1038,28800.0,0.0,5028800.0,HDFC_DEMO_009988,CREDIT
BNK1039,pay_1039,2026-08-16,2026-08-16,Razorpay Settlement - pay_1039 / ORD1039,35400.0,0.0,5035400.0,HDFC_DEMO_009988,CREDIT
BNK1040,pay_1040,2026-08-17,2026-08-17,Razorpay Settlement - pay_1040 / ORD1040,39800.0,0.0,5039800.0,HDFC_DEMO_009988,CREDIT
BNK1041,pay_1041,2026-08-18,2026-08-18,Razorpay Settlement - pay_1041 / ORD1041,22700.0,0.0,5022700.0,HDFC_DEMO_009988,CREDIT
BNK1042,pay_1042,2026-08-19,2026-08-19,Razorpay Settlement - pay_1042 / ORD1042,49300.0,0.0,5049300.0,HDFC_DEMO_009988,CREDIT
BNK1043,pay_1043,2026-08-20,2026-08-20,Razorpay Settlement - pay_1043 / ORD1043,26400.0,0.0,5026400.0,HDFC_DEMO_009988,CREDIT
BNK1044,pay_1044,2026-08-21,2026-08-21,Razorpay Settlement - pay_1044 / ORD1044,43500.0,0.0,5043500.0,HDFC_DEMO_009988,CREDIT
BNK1045,pay_1045,2026-08-22,2026-08-22,Razorpay Settlement - pay_1045 / ORD1045,8300.0,0.0,5008300.0,HDFC_DEMO_009988,CREDIT
BNK1046,pay_1046,2026-08-23,2026-08-23,Razorpay Settlement - pay_1046 / ORD1046,28100.0,0.0,5028100.0,HDFC_DEMO_009988,CREDIT
BNK1047,pay_1047,2026-08-24,2026-08-24,Razorpay Settlement - pay_1047 / ORD1047,31100.0,0.0,5031100.0,HDFC_DEMO_009988,CREDIT
BNK1048,pay_1048,2026-08-25,2026-08-25,Razorpay Settlement - pay_1048 / ORD1048,6200.0,0.0,5006200.0,HDFC_DEMO_009988,CREDIT
BNK1049,pay_1049,2026-08-26,2026-08-26,Razorpay Settlement - pay_1049 / ORD1049,12700.0,0.0,5012700.0,HDFC_DEMO_009988,CREDIT
BNK1050,pay_1050,2026-08-02,2026-08-02,Razorpay Settlement - pay_1050 / ORD1050,4800.0,0.0,5004800.0,HDFC_DEMO_009988,CREDIT
BNK1051,pay_1051,2026-08-03,2026-08-03,Razorpay Settlement - pay_1051 / ORD1051,39400.0,0.0,5039400.0,HDFC_DEMO_009988,CREDIT
BNK1052,pay_1052,2026-08-04,2026-08-04,Razorpay Settlement - pay_1052 / ORD1052,7000.0,0.0,5007000.0,HDFC_DEMO_009988,CREDIT
BNK1053,pay_1053,2026-08-05,2026-08-05,Razorpay Settlement - pay_1053 / ORD1053,14000.0,0.0,5014000.0,HDFC_DEMO_009988,CREDIT
BNK1054,pay_1054,2026-08-06,2026-08-06,Razorpay Settlement - pay_1054 / ORD1054,49800.0,0.0,5049800.0,HDFC_DEMO_009988,CREDIT
BNK1055,pay_1055,2026-08-07,2026-08-07,Razorpay Settlement - pay_1055 / ORD1055,37000.0,0.0,5037000.0,HDFC_DEMO_009988,CREDIT
BNK1056,pay_1056,2026-08-08,2026-08-08,Razorpay Settlement - pay_1056 / ORD1056,22900.0,0.0,5022900.0,HDFC_DEMO_009988,CREDIT
BNK1057,pay_1057,2026-08-09,2026-08-09,Settlement Discrepancy - pay_1057,13125.5,0.0,5013125.5,HDFC_DEMO_009988,CREDIT
BNK1058,pay_1058,2026-08-10,2026-08-10,Settlement Discrepancy - pay_1058,30500.0,0.0,5030500.0,HDFC_DEMO_009988,CREDIT
BNK1059,pay_1059,2026-08-11,2026-08-11,Settlement Discrepancy - pay_1059,4150.0,0.0,5004150.0,HDFC_DEMO_009988,CREDIT
BNK1060,pay_1060,2026-08-12,2026-08-12,Settlement Discrepancy - pay_1060,44400.0,0.0,5044400.0,HDFC_DEMO_009988,CREDIT
BNK1061,pay_1061,2026-08-13,2026-08-13,Settlement Discrepancy - pay_1061,34600.0,0.0,5034600.0,HDFC_DEMO_009988,CREDIT
BNK1062,pay_1062,2026-08-14,2026-08-14,Settlement Discrepancy - pay_1062,13400.0,0.0,5013400.0,HDFC_DEMO_009988,CREDIT
BNK1063,pay_1063,2026-08-15,2026-08-15,Settlement Discrepancy - pay_1063,5800.0,0.0,5005800.0,HDFC_DEMO_009988,CREDIT
BNK1064,pay_1064,2026-08-16,2026-08-16,Settlement Discrepancy - pay_1064,22150.0,0.0,5022150.0,HDFC_DEMO_009988,CREDIT
BNK1065,pay_1065,2026-08-17,2026-08-17,Settlement Discrepancy - pay_1065,3625.5,0.0,5003625.5,HDFC_DEMO_009988,CREDIT
BNK1066,pay_1066,2026-08-18,2026-08-18,Settlement Discrepancy - pay_1066,13700.0,0.0,5013700.0,HDFC_DEMO_009988,CREDIT
BNK1075,NEFT_1075,2026-08-02,2026-08-02,Direct NEFT Credit from Customer 026 / INV1075,8400.0,0.0,5008400.0,HDFC_DEMO_009988,CREDIT
BNK1076,NEFT_1076,2026-08-03,2026-08-03,Direct NEFT Credit from Customer 027 / INV1076,11600.0,0.0,5011600.0,HDFC_DEMO_009988,CREDIT
BNK1077,NEFT_1077,2026-08-04,2026-08-04,Direct NEFT Credit from Customer 028 / INV1077,38100.0,0.0,5038100.0,HDFC_DEMO_009988,CREDIT
BNK1078,NEFT_1078,2026-08-05,2026-08-05,Direct NEFT Credit from Customer 029 / INV1078,38700.0,0.0,5038700.0,HDFC_DEMO_009988,CREDIT
BNK1079,NEFT_1079,2026-08-06,2026-08-06,Direct NEFT Credit from Customer 030 / INV1079,3000.0,0.0,5003000.0,HDFC_DEMO_009988,CREDIT
BNK1080,pay_1080,2026-08-07,2026-08-07,Duplicate Charge Detected - pay_1080,47500.0,0.0,5047500.0,HDFC_DEMO_009988,CREDIT
BNK1081,pay_1081,2026-08-08,2026-08-08,Duplicate Charge Detected - pay_1081,3400.0,0.0,5003400.0,HDFC_DEMO_009988,CREDIT
BNK1082,pay_1082,2026-08-09,2026-08-09,Duplicate Charge Detected - pay_1082,44000.0,0.0,5044000.0,HDFC_DEMO_009988,CREDIT
BNK1083,pay_1083,2026-08-10,2026-08-10,Duplicate Charge Detected - pay_1083,30900.0,0.0,5030900.0,HDFC_DEMO_009988,CREDIT
BNK1084,pay_1084,2026-08-11,2026-08-11,Duplicate Charge Detected - pay_1084,44600.0,0.0,5044600.0,HDFC_DEMO_009988,CREDIT
BNK1085,pay_1085,2026-08-29,2026-08-29,Delayed Settlement - pay_1085,6600.0,0.0,5006600.0,HDFC_DEMO_009988,CREDIT
BNK1086,pay_1086,2026-08-30,2026-08-30,Delayed Settlement - pay_1086,32200.0,0.0,5032200.0,HDFC_DEMO_009988,CREDIT
BNK1087,pay_1087,2026-08-31,2026-08-31,Delayed Settlement - pay_1087,48300.0,0.0,5048300.0,HDFC_DEMO_009988,CREDIT
BNK1088,pay_1088,2026-09-01,2026-09-01,Delayed Settlement - pay_1088,12700.0,0.0,5012700.0,HDFC_DEMO_009988,CREDIT
BNK1089,pay_1089,2026-09-02,2026-09-02,Delayed Settlement - pay_1089,34800.0,0.0,5034800.0,HDFC_DEMO_009988,CREDIT
BNK1090,pay_109A,2026-08-17,2026-08-17,Razorpay Settlement Ref: pay_109A Order ORD1090,48000.0,0.0,5048000.0,HDFC_DEMO_009988,CREDIT
BNK1091,pay_109A,2026-08-18,2026-08-18,Razorpay Settlement Ref: pay_109A Order ORD1091,32300.0,0.0,5032300.0,HDFC_DEMO_009988,CREDIT
BNK1092,pay_109A,2026-08-19,2026-08-19,Razorpay Settlement Ref: pay_109A Order ORD1092,26400.0,0.0,5026400.0,HDFC_DEMO_009988,CREDIT
BNK1093,pay_109A,2026-08-20,2026-08-20,Razorpay Settlement Ref: pay_109A Order ORD1093,45600.0,0.0,5045600.0,HDFC_DEMO_009988,CREDIT
BNK1094,pay_109A,2026-08-21,2026-08-21,Razorpay Settlement Ref: pay_109A Order ORD1094,19400.0,0.0,5019400.0,HDFC_DEMO_009988,CREDIT
BNK1095,pay_1095,2026-08-22,2026-08-22,Partial Settlement - pay_1095,25860.0,0.0,5025860.0,HDFC_DEMO_009988,CREDIT
BNK1096,pay_1096,2026-08-23,2026-08-23,Partial Settlement - pay_1096,19080.0,0.0,5019080.0,HDFC_DEMO_009988,CREDIT
BNK1097,pay_1097,2026-08-24,2026-08-24,Partial Settlement - pay_1097,28920.0,0.0,5028920.0,HDFC_DEMO_009988,CREDIT
BNK1098,pay_1098,2026-08-25,2026-08-25,Partial Settlement - pay_1098,8400.0,0.0,5008400.0,HDFC_DEMO_009988,CREDIT
