scenario_id,scenario_type,payment_id,gateway_transaction_id,bank_transaction_id,erp_invoice_id,order_id,customer_id,ground_truth_status,expected_action,anomaly_flag,description
SCN_1015,EXACT_MATCH,pay_1015,GW1015,BNK1015,INV1015,ORD1015,CUST_016,MATCHED,AUTO_RECONCILE,False,All three sources match within tolerance.
SCN_1016,EXACT_MATCH,pay_1016,GW1016,BNK1016,INV1016,ORD1016,CUST_017,MATCHED,AUTO_RECONCILE,False,All three sources match within tolerance.
SCN_1017,EXACT_MATCH,pay_1017,GW1017,BNK1017,INV1017,ORD1017,CUST_018,MATCHED,AUTO_RECONCILE,False,All three sources match within tolerance.
SCN_1018,EXACT_MATCH,pay_1018,GW1018,BNK1018,INV1018,ORD1018,CUST_019,MATCHED,AUTO_RECONCILE,False,All three sources match within tolerance.
SCN_1019,EXACT_MATCH,pay_1019,GW1019,BNK1019,INV1019,ORD1019,CUST_020,MATCHED,AUTO_RECONCILE,False,All three sources match within tolerance.
SCN_1020,EXACT_MATCH,pay_1020,GW1020,BNK1020,INV1020,ORD1020,CUST_021,MATCHED,AUTO_RECONCILE,False,All three sources match within tolerance.
SCN_1021,EXACT_MATCH,pay_1021,GW1021,BNK1021,INV1021,ORD1021,CUST_022,MATCHED,AUTO_RECONCILE,False,All three sources match within tolerance.
SCN_1022,EXACT_MATCH,pay_1022,GW1022,BNK1022,INV1022,ORD1022,CUST_023,MATCHED,AUTO_RECONCILE,False,All three sources match within tolerance.
SCN_1023,EXACT_MATCH,pay_1023,GW1023,BNK1023,INV1023,ORD1023,CUST_024,MATCHED,AUTO_RECONCILE,False,All three sources match within tolerance.
SCN_1024,EXACT_MATCH,pay_1024,GW1024,BNK1024,INV1024,ORD1024,CUST_025,MATCHED,AUTO_RECONCILE,False,All three sources match within tolerance.
SCN_1025,EXACT_MATCH,pay_1025,GW1025,BNK1025,INV1025,ORD1025,CUST_026,MATCHED,AUTO_RECONCILE,False,All three sources match within tolerance.
SCN_1026,EXACT_MATCH,pay_1026,GW1026,BNK1026,INV1026,ORD1026,CUST_027,MATCHED,AUTO_RECONCILE,False,All three sources match within tolerance.
SCN_1027,EXACT_MATCH,pay_1027,GW1027,BNK1027,INV1027,ORD1027,CUST_028,MATCHED,AUTO_RECONCILE,False,All three sources match within tolerance.
SCN_1028,EXACT_MATCH,pay_1028,GW1028,BNK1028,INV1028,ORD1028,CUST_029,MATCHED,AUTO_RECONCILE,False,All three sources match within tolerance.
SCN_1029,EXACT_MATCH,pay_1029,GW1029,BNK1029,INV1029,ORD1029,CUST_030,MATCHED,AUTO_RECONCILE,False,All three sources match within tolerance.
SCN_1030,EXACT_MATCH,pay_1030,GW1030,BNK1030,INV1030,ORD1030,CUST_031,MATCHED,AUTO_RECONCILE,False,All three sources match within tolerance.
SCN_1031,EXACT_MATCH,pay_1031,GW1031,BNK1031,INV1031,ORD1031,CUST_032,MATCHED,AUTO_RECONCILE,False,All three sources match within tolerance.
SCN_1032,EXACT_MATCH,pay_1032,GW1032,BNK1032,INV1032,ORD1032,CUST_033,MATCHED,AUTO_RECONCILE,False,All three sources match within tolerance.
SCN_1033,EXACT_MATCH,pay_1033,GW1033,BNK1033,INV1033,ORD1033,CUST_034,MATCHED,AUTO_RECONCILE,False,All three sources match within tolerance.
SCN_1034,EXACT_MATCH,pay_1034,GW1034,BNK1034,INV1034,ORD1034,CUST_035,MATCHED,AUTO_RECONCILE,False,All three sources match within tolerance.
SCN_1035,EXACT_MATCH,pay_1035,GW1035,BNK1035,INV1035,ORD1035,CUST_036,MATCHED,AUTO_RECONCILE,False,All three sources match within tolerance.
SCN_1036,EXACT_MATCH,pay_1036,GW1036,BNK1036,INV1036,ORD1036,CUST_037,MATCHED,AUTO_RECONCILE,False,All three sources match within tolerance.
SCN_1037,EXACT_MATCH,pay_1037,GW1037,BNK1037,INV1037,ORD1037,CUST_038,MATCHED,AUTO_RECONCILE,False,All three sources match within tolerance.
SCN_1038,EXACT_MATCH,pay_1038,GW1038,BNK1038,INV1038,ORD1038,CUST_039,MATCHED,AUTO_RECONCILE,False,All three sources match within tolerance.
SCN_1039,EXACT_MATCH,pay_1039,GW1039,BNK1039,INV1039,ORD1039,CUST_040,MATCHED,AUTO_RECONCILE,False,All three sources match within tolerance.
SCN_1040,EXACT_MATCH,pay_1040,GW1040,BNK1040,INV1040,ORD1040,CUST_041,MATCHED,AUTO_RECONCILE,False,All three sources match within tolerance.
SCN_1041,EXACT_MATCH,pay_1041,GW1041,BNK1041,INV1041,ORD1041,CUST_042,MATCHED,AUTO_RECONCILE,False,All three sources match within tolerance.
SCN_1042,EXACT_MATCH,pay_1042,GW1042,BNK1042,INV1042,ORD1042,CUST_043,MATCHED,AUTO_RECONCILE,False,All three sources match within tolerance.
SCN_1043,EXACT_MATCH,pay_1043,GW1043,BNK1043,INV1043,ORD1043,CUST_044,MATCHED,AUTO_RECONCILE,False,All three sources match within tolerance.
SCN_1044,EXACT_MATCH,pay_1044,GW1044,BNK1044,INV1044,ORD1044,CUST_045,MATCHED,AUTO_RECONCILE,False,All three sources match within tolerance.
SCN_1045,EXACT_MATCH,pay_1045,GW1045,BNK1045,INV1045,ORD1045,CUST_046,MATCHED,AUTO_RECONCILE,False,All three sources match within tolerance.
SCN_1046,EXACT_MATCH,pay_1046,GW1046,BNK1046,INV1046,ORD1046,CUST_047,MATCHED,AUTO_RECONCILE,False,All three sources match within tolerance.
SCN_1047,EXACT_MATCH,pay_1047,GW1047,BNK1047,INV1047,ORD1047,CUST_048,MATCHED,AUTO_RECONCILE,False,All three sources match within tolerance.
SCN_1048,EXACT_MATCH,pay_1048,GW1048,BNK1048,INV1048,ORD1048,CUST_049,MATCHED,AUTO_RECONCILE,False,All three sources match within tolerance.
SCN_1049,EXACT_MATCH,pay_1049,GW1049,BNK1049,INV1049,ORD1049,CUST_050,MATCHED,AUTO_RECONCILE,False,All three sources match within tolerance.
SCN_1050,EXACT_MATCH,pay_1050,GW1050,BNK1050,INV1050,ORD1050,CUST_001,MATCHED,AUTO_RECONCILE,False,All three sources match within tolerance.
SCN_1051,EXACT_MATCH,pay_1051,GW1051,BNK1051,INV1051,ORD1051,CUST_002,MATCHED,AUTO_RECONCILE,False,All three sources match within tolerance.
SCN_1052,EXACT_MATCH,pay_1052,GW1052,BNK1052,INV1052,ORD1052,CUST_003,MATCHED,AUTO_RECONCILE,False,All three sources match within tolerance.
SCN_1053,EXACT_MATCH,pay_1053,GW1053,BNK1053,INV1053,ORD1053,CUST_004,MATCHED,AUTO_RECONCILE,False,All three sources match within tolerance.
SCN_1054,EXACT_MATCH,pay_1054,GW1054,BNK1054,INV1054,ORD1054,CUST_005,MATCHED,AUTO_RECONCILE,False,All three sources match within tolerance.
SCN_1055,EXACT_MATCH,pay_1055,GW1055,BNK1055,INV1055,ORD1055,CUST_006,MATCHED,AUTO_RECONCILE,False,All three sources match within tolerance.
SCN_1056,EXACT_MATCH,pay_1056,GW1056,BNK1056,INV1056,ORD1056,CUST_007,MATCHED,AUTO_RECONCILE,False,All three sources match within tolerance.
SCN_1057,AMOUNT_MISMATCH,pay_1057,GW1057,BNK1057,INV1057,ORD1057,CUST_008,AMOUNT_MISMATCH,HUMAN_REVIEW,True,Gateway amount ₹13100.0 differs from Bank credit ₹13125.5.
SCN_1058,AMOUNT_MISMATCH,pay_1058,GW1058,BNK1058,INV1058,ORD1058,CUST_009,AMOUNT_MISMATCH,HUMAN_REVIEW,True,Gateway amount ₹30600.0 differs from Bank credit ₹30500.0.
SCN_1059,AMOUNT_MISMATCH,pay_1059,GW1059,BNK1059,INV1059,ORD1059,CUST_010,AMOUNT_MISMATCH,HUMAN_REVIEW,True,Gateway amount ₹4100.0 differs from Bank credit ₹4150.0.
SCN_1060,AMOUNT_MISMATCH,pay_1060,GW1060,BNK1060,INV1060,ORD1060,CUST_011,AMOUNT_MISMATCH,HUMAN_REVIEW,True,Gateway amount ₹44500.0 differs from Bank credit ₹44400.0.
SCN_1061,AMOUNT_MISMATCH,pay_1061,GW1061,BNK1061,INV1061,ORD1061,CUST_012,AMOUNT_MISMATCH,HUMAN_REVIEW,True,Gateway amount ₹34700.0 differs from Bank credit ₹34600.0.
SCN_1062,AMOUNT_MISMATCH,pay_1062,GW1062,BNK1062,INV1062,ORD1062,CUST_013,AMOUNT_MISMATCH,HUMAN_REVIEW,True,Gateway amount ₹12900.0 differs from Bank credit ₹13400.0.
SCN_1063,AMOUNT_MISMATCH,pay_1063,GW1063,BNK1063,INV1063,ORD1063,CUST_014,AMOUNT_MISMATCH,HUMAN_REVIEW,True,Gateway amount ₹5300.0 differs from Bank credit ₹5800.0.
SCN_1064,AMOUNT_MISMATCH,pay_1064,GW1064,BNK1064,INV1064,ORD1064,CUST_015,AMOUNT_MISMATCH,HUMAN_REVIEW,True,Gateway amount ₹22100.0 differs from Bank credit ₹22150.0.
SCN_1065,AMOUNT_MISMATCH,pay_1065,GW1065,BNK1065,INV1065,ORD1065,CUST_016,AMOUNT_MISMATCH,HUMAN_REVIEW,True,Gateway amount ₹3600.0 differs from Bank credit ₹3625.5.
SCN_1066,AMOUNT_MISMATCH,pay_1066,GW1066,BNK1066,INV1066,ORD1066,CUST_017,AMOUNT_MISMATCH,HUMAN_REVIEW,True,Gateway amount ₹13200.0 differs from Bank credit ₹13700.0.
SCN_1067,MISSING_BANK_TRANSACTION,pay_1067,GW1067,NONE,INV1067,ORD1067,CUST_018,MISSING_BANK_TRANSACTION,HUMAN_REVIEW,False,"Payment captured on Gateway and recorded in ERP, but missing from Bank statement."
SCN_1068,MISSING_BANK_TRANSACTION,pay_1068,GW1068,NONE,INV1068,ORD1068,CUST_019,MISSING_BANK_TRANSACTION,HUMAN_REVIEW,False,"Payment captured on Gateway and recorded in ERP, but missing from Bank statement."
SCN_1069,MISSING_BANK_TRANSACTION,pay_1069,GW1069,NONE,INV1069,ORD1069,CUST_020,MISSING_BANK_TRANSACTION,HUMAN_REVIEW,False,"Payment captured on Gateway and recorded in ERP, but missing from Bank statement."
SCN_1070,MISSING_BANK_TRANSACTION,pay_1070,GW1070,NONE,INV1070,ORD1070,CUST_021,MISSING_BANK_TRANSACTION,HUMAN_REVIEW,False,"Payment captured on Gateway and recorded in ERP, but missing from Bank statement."
SCN_1071,MISSING_BANK_TRANSACTION,pay_1071,GW1071,NONE,INV1071,ORD1071,CUST_022,MISSING_BANK_TRANSACTION,HUMAN_REVIEW,False,"Payment captured on Gateway and recorded in ERP, but missing from Bank statement."
SCN_1072,MISSING_BANK_TRANSACTION,pay_1072,GW1072,NONE,INV1072,ORD1072,CUST_023,MISSING_BANK_TRANSACTION,HUMAN_REVIEW,False,"Payment captured on Gateway and recorded in ERP, but missing from Bank statement."
SCN_1073,MISSING_BANK_TRANSACTION,pay_1073,GW1073,NONE,INV1073,ORD1073,CUST_024,MISSING_BANK_TRANSACTION,HUMAN_REVIEW,False,"Payment captured on Gateway and recorded in ERP, but missing from Bank statement."
SCN_1074,MISSING_BANK_TRANSACTION,pay_1074,GW1074,NONE,INV1074,ORD1074,CUST_025,MISSING_BANK_TRANSACTION,HUMAN_REVIEW,False,"Payment captured on Gateway and recorded in ERP, but missing from Bank statement."
SCN_1075,MISSING_GATEWAY_TRANSACTION,pay_1075,NONE,BNK1075,INV1075,ORD1075,CUST_026,UNEXPECTED_BANK_TRANSACTION,AI_REVIEW,False,Direct bank transfer present in Bank and ERP without Gateway transaction.
SCN_1076,MISSING_GATEWAY_TRANSACTION,pay_1076,NONE,BNK1076,INV1076,ORD1076,CUST_027,UNEXPECTED_BANK_TRANSACTION,AI_REVIEW,False,Direct bank transfer present in Bank and ERP without Gateway transaction.
SCN_1077,MISSING_GATEWAY_TRANSACTION,pay_1077,NONE,BNK1077,INV1077,ORD1077,CUST_028,UNEXPECTED_BANK_TRANSACTION,AI_REVIEW,False,Direct bank transfer present in Bank and ERP without Gateway transaction.
SCN_1078,MISSING_GATEWAY_TRANSACTION,pay_1078,NONE,BNK1078,INV1078,ORD1078,CUST_029,UNEXPECTED_BANK_TRANSACTION,AI_REVIEW,False,Direct bank transfer present in Bank and ERP without Gateway transaction.
SCN_1079,MISSING_GATEWAY_TRANSACTION,pay_1079,NONE,BNK1079,INV1079,ORD1079,CUST_030,UNEXPECTED_BANK_TRANSACTION,AI_REVIEW,False,Direct bank transfer present in Bank and ERP without Gateway transaction.
SCN_1080,DUPLICATE_TRANSACTION,pay_1080,GW1080,BNK1080,INV1080,ORD1080,CUST_031,DUPLICATE_TRANSACTION,HUMAN_REVIEW,True,Duplicate gateway transaction detected for the same order reference.
SCN_1081,DUPLICATE_TRANSACTION,pay_1081,GW1081,BNK1081,INV1081,ORD1081,CUST_032,DUPLICATE_TRANSACTION,HUMAN_REVIEW,True,Duplicate gateway transaction detected for the same order reference.
SCN_1082,DUPLICATE_TRANSACTION,pay_1082,GW1082,BNK1082,INV1082,ORD1082,CUST_033,DUPLICATE_TRANSACTION,HUMAN_REVIEW,True,Duplicate gateway transaction detected for the same order reference.
SCN_1083,DUPLICATE_TRANSACTION,pay_1083,GW1083,BNK1083,INV1083,ORD1083,CUST_034,DUPLICATE_TRANSACTION,HUMAN_REVIEW,True,Duplicate gateway transaction detected for the same order reference.
SCN_1084,DUPLICATE_TRANSACTION,pay_1084,GW1084,BNK1084,INV1084,ORD1084,CUST_035,DUPLICATE_TRANSACTION,HUMAN_REVIEW,True,Duplicate gateway transaction detected for the same order reference.
SCN_1085,DATE_MISMATCH,pay_1085,GW1085,BNK1085,INV1085,ORD1085,CUST_036,DATE_MISMATCH,AI_REVIEW,False,Date gap between gateway capture and bank value date exceeds 3-day tolerance.
SCN_1086,DATE_MISMATCH,pay_1086,GW1086,BNK1086,INV1086,ORD1086,CUST_037,DATE_MISMATCH,AI_REVIEW,False,Date gap between gateway capture and bank value date exceeds 3-day tolerance.
SCN_1087,DATE_MISMATCH,pay_1087,GW1087,BNK1087,INV1087,ORD1087,CUST_038,DATE_MISMATCH,AI_REVIEW,False,Date gap between gateway capture and bank value date exceeds 3-day tolerance.
SCN_1088,DATE_MISMATCH,pay_1088,GW1088,BNK1088,INV1088,ORD1088,CUST_039,DATE_MISMATCH,AI_REVIEW,False,Date gap between gateway capture and bank value date exceeds 3-day tolerance.
SCN_1089,DATE_MISMATCH,pay_1089,GW1089,BNK1089,INV1089,ORD1089,CUST_040,DATE_MISMATCH,AI_REVIEW,False,Date gap between gateway capture and bank value date exceeds 3-day tolerance.
SCN_1090,REFERENCE_MISMATCH,pay_1090,GW1090,BNK1090,INV1090,ORD1090,CUST_041,REFERENCE_MISMATCH,AI_REVIEW,False,Bank reference 'pay_109A' slightly mutated from gateway reference 'pay_1090'.
SCN_1091,REFERENCE_MISMATCH,pay_1091,GW1091,BNK1091,INV1091,ORD1091,CUST_042,REFERENCE_MISMATCH,AI_REVIEW,False,Bank reference 'pay_109A' slightly mutated from gateway reference 'pay_1091'.
SCN_1092,REFERENCE_MISMATCH,pay_1092,GW1092,BNK1092,INV1092,ORD1092,CUST_043,REFERENCE_MISMATCH,AI_REVIEW,False,Bank reference 'pay_109A' slightly mutated from gateway reference 'pay_1092'.
SCN_1093,REFERENCE_MISMATCH,pay_1093,GW1093,BNK1093,INV1093,ORD1093,CUST_044,REFERENCE_MISMATCH,AI_REVIEW,False,Bank reference 'pay_109A' slightly mutated from gateway reference 'pay_1093'.
SCN_1094,REFERENCE_MISMATCH,pay_1094,GW1094,BNK1094,INV1094,ORD1094,CUST_045,REFERENCE_MISMATCH,AI_REVIEW,False,Bank reference 'pay_109A' slightly mutated from gateway reference 'pay_1094'.
SCN_1095,PARTIAL_PAYMENT,pay_1095,GW1095,BNK1095,INV1095,ORD1095,CUST_046,PARTIAL_PAYMENT,HUMAN_REVIEW,False,Received amount ₹25860.0 is less than invoice expected amount ₹43100.0.
SCN_1096,PARTIAL_PAYMENT,pay_1096,GW1096,BNK1096,INV1096,ORD1096,CUST_047,PARTIAL_PAYMENT,HUMAN_REVIEW,False,Received amount ₹19080.0 is less than invoice expected amount ₹31800.0.
SCN_1097,PARTIAL_PAYMENT,pay_1097,GW1097,BNK1097,INV1097,ORD1097,CUST_048,PARTIAL_PAYMENT,HUMAN_REVIEW,False,Received amount ₹28920.0 is less than invoice expected amount ₹48200.0.
SCN_1098,PARTIAL_PAYMENT,pay_1098,GW1098,BNK1098,INV1098,ORD1098,CUST_049,PARTIAL_PAYMENT,HUMAN_REVIEW,False,Received amount ₹8400.0 is less than invoice expected amount ₹14000.0.
SCN_1099,FAILED_PAYMENT,pay_1099,GW1099,NONE,INV1099,ORD1099,CUST_050,FAILED_PAYMENT,AUTO_RECONCILE,False,Payment failed at gateway; no bank settlement expected.
SCN_1100,FAILED_PAYMENT,pay_1100,GW1100,NONE,INV1100,ORD1100,CUST_001,FAILED_PAYMENT,AUTO_RECONCILE,False,Payment failed at gateway; no bank settlement expected.
SCN_1101,FAILED_PAYMENT,pay_1101,GW1101,NONE,INV1101,ORD1101,CUST_002,FAILED_PAYMENT,AUTO_RECONCILE,False,Payment failed at gateway; no bank settlement expected.
