bank_transaction_id,bank_reference,transaction_date,value_date,description,credit_amount,debit_amount,balance,bank_account,transaction_type
HO_BNK5028,HO_pay_5028,2026-08-05,2026-08-05,Razorpay Settlement - HO_pay_5028 / HO_ORD5028,29200.0,0.0,5029200.0,HDFC_DEMO_009988,CREDIT
HO_BNK5029,HO_pay_5029,2026-08-06,2026-08-06,Razorpay Settlement - HO_pay_5029 / HO_ORD5029,22700.0,0.0,5022700.0,HDFC_DEMO_009988,CREDIT
HO_BNK5030,HO_pay_5030,2026-08-07,2026-08-07,Razorpay Settlement - HO_pay_5030 / HO_ORD5030,28000.0,0.0,5028000.0,HDFC_DEMO_009988,CREDIT
HO_BNK5031,HO_pay_5031,2026-08-08,2026-08-08,Razorpay Settlement - HO_pay_5031 / HO_ORD5031,31900.0,0.0,5031900.0,HDFC_DEMO_009988,CREDIT
HO_BNK5032,HO_pay_5032,2026-08-09,2026-08-09,Razorpay Settlement - HO_pay_5032 / HO_ORD5032,49300.0,0.0,5049300.0,HDFC_DEMO_009988,CREDIT
HO_BNK5033,HO_pay_5033,2026-08-10,2026-08-10,Razorpay Settlement - HO_pay_5033 / HO_ORD5033,44300.0,0.0,5044300.0,HDFC_DEMO_009988,CREDIT
HO_BNK5034,HO_pay_5034,2026-08-11,2026-08-11,Razorpay Settlement - HO_pay_5034 / HO_ORD5034,50000.0,0.0,5050000.0,HDFC_DEMO_009988,CREDIT
HO_BNK5035,HO_pay_5035,2026-08-12,2026-08-12,Razorpay Settlement - HO_pay_5035 / HO_ORD5035,29300.0,0.0,5029300.0,HDFC_DEMO_009988,CREDIT
HO_BNK5036,HO_pay_5036,2026-08-13,2026-08-13,Razorpay Settlement - HO_pay_5036 / HO_ORD5036,20400.0,0.0,5020400.0,HDFC_DEMO_009988,CREDIT
HO_BNK5037,HO_pay_5037,2026-08-14,2026-08-14,Razorpay Settlement - HO_pay_5037 / HO_ORD5037,38800.0,0.0,5038800.0,HDFC_DEMO_009988,CREDIT
HO_BNK5038,HO_pay_5038,2026-08-15,2026-08-15,Razorpay Settlement - HO_pay_5038 / HO_ORD5038,40900.0,0.0,5040900.0,HDFC_DEMO_009988,CREDIT
HO_BNK5039,HO_pay_5039,2026-08-16,2026-08-16,Razorpay Settlement - HO_pay_5039 / HO_ORD5039,18600.0,0.0,5018600.0,HDFC_DEMO_009988,CREDIT
HO_BNK5040,HO_pay_5040,2026-08-17,2026-08-17,Razorpay Settlement - HO_pay_5040 / HO_ORD5040,47700.0,0.0,5047700.0,HDFC_DEMO_009988,CREDIT
HO_BNK5041,HO_pay_5041,2026-08-18,2026-08-18,Razorpay Settlement - HO_pay_5041 / HO_ORD5041,14800.0,0.0,5014800.0,HDFC_DEMO_009988,CREDIT
HO_BNK5042,HO_pay_5042,2026-08-19,2026-08-19,Razorpay Settlement - HO_pay_5042 / HO_ORD5042,17700.0,0.0,5017700.0,HDFC_DEMO_009988,CREDIT
HO_BNK5043,HO_pay_5043,2026-08-20,2026-08-20,Razorpay Settlement - HO_pay_5043 / HO_ORD5043,20500.0,0.0,5020500.0,HDFC_DEMO_009988,CREDIT
HO_BNK5044,HO_pay_5044,2026-08-21,2026-08-21,Razorpay Settlement - HO_pay_5044 / HO_ORD5044,9600.0,0.0,5009600.0,HDFC_DEMO_009988,CREDIT
HO_BNK5045,HO_pay_5045,2026-08-22,2026-08-22,Razorpay Settlement - HO_pay_5045 / HO_ORD5045,35200.0,0.0,5035200.0,HDFC_DEMO_009988,CREDIT
HO_BNK5046,HO_pay_5046,2026-08-23,2026-08-23,Razorpay Settlement - HO_pay_5046 / HO_ORD5046,15500.0,0.0,5015500.0,HDFC_DEMO_009988,CREDIT
HO_BNK5047,HO_pay_5047,2026-08-24,2026-08-24,Razorpay Settlement - HO_pay_5047 / HO_ORD5047,37800.0,0.0,5037800.0,HDFC_DEMO_009988,CREDIT
HO_BNK5048,HO_pay_5048,2026-08-25,2026-08-25,Razorpay Settlement - HO_pay_5048 / HO_ORD5048,44800.0,0.0,5044800.0,HDFC_DEMO_009988,CREDIT
HO_BNK5049,HO_pay_5049,2026-08-26,2026-08-26,Razorpay Settlement - HO_pay_5049 / HO_ORD5049,28200.0,0.0,5028200.0,HDFC_DEMO_009988,CREDIT
HO_BNK5050,HO_pay_5050,2026-08-02,2026-08-02,Razorpay Settlement - HO_pay_5050 / HO_ORD5050,600.0,0.0,5000600.0,HDFC_DEMO_009988,CREDIT
HO_BNK5051,HO_pay_5051,2026-08-03,2026-08-03,Razorpay Settlement - HO_pay_5051 / HO_ORD5051,7300.0,0.0,5007300.0,HDFC_DEMO_009988,CREDIT
HO_BNK5052,HO_pay_5052,2026-08-04,2026-08-04,Razorpay Settlement - HO_pay_5052 / HO_ORD5052,17700.0,0.0,5017700.0,HDFC_DEMO_009988,CREDIT
HO_BNK5053,HO_pay_5053,2026-08-05,2026-08-05,Razorpay Settlement - HO_pay_5053 / HO_ORD5053,3300.0,0.0,5003300.0,HDFC_DEMO_009988,CREDIT
HO_BNK5054,HO_pay_5054,2026-08-06,2026-08-06,Razorpay Settlement - HO_pay_5054 / HO_ORD5054,8600.0,0.0,5008600.0,HDFC_DEMO_009988,CREDIT
HO_BNK5055,HO_pay_5055,2026-08-07,2026-08-07,Razorpay Settlement - HO_pay_5055 / HO_ORD5055,30400.0,0.0,5030400.0,HDFC_DEMO_009988,CREDIT
HO_BNK5056,HO_pay_5056,2026-08-08,2026-08-08,Razorpay Settlement - HO_pay_5056 / HO_ORD5056,4100.0,0.0,5004100.0,HDFC_DEMO_009988,CREDIT
HO_BNK5057,HO_pay_5057,2026-08-09,2026-08-09,Settlement Discrepancy - HO_pay_5057,45250.0,0.0,5045250.0,HDFC_DEMO_009988,CREDIT
HO_BNK5058,HO_pay_5058,2026-08-10,2026-08-10,Settlement Discrepancy - HO_pay_5058,38250.0,0.0,5038250.0,HDFC_DEMO_009988,CREDIT
HO_BNK5059,HO_pay_5059,2026-08-11,2026-08-11,Settlement Discrepancy - HO_pay_5059,23700.0,0.0,5023700.0,HDFC_DEMO_009988,CREDIT
HO_BNK5060,HO_pay_5060,2026-08-12,2026-08-12,Settlement Discrepancy - HO_pay_5060,6750.0,0.0,5006750.0,HDFC_DEMO_009988,CREDIT
HO_BNK5061,HO_pay_5061,2026-08-13,2026-08-13,Settlement Discrepancy - HO_pay_5061,3425.5,0.0,5003425.5,HDFC_DEMO_009988,CREDIT
HO_BNK5062,HO_pay_5062,2026-08-14,2026-08-14,Settlement Discrepancy - HO_pay_5062,40150.0,0.0,5040150.0,HDFC_DEMO_009988,CREDIT
HO_BNK5063,HO_pay_5063,2026-08-15,2026-08-15,Settlement Discrepancy - HO_pay_5063,40100.0,0.0,5040100.0,HDFC_DEMO_009988,CREDIT
HO_BNK5064,HO_pay_5064,2026-08-16,2026-08-16,Settlement Discrepancy - HO_pay_5064,36800.0,0.0,5036800.0,HDFC_DEMO_009988,CREDIT
HO_BNK5065,HO_pay_5065,2026-08-17,2026-08-17,Settlement Discrepancy - HO_pay_5065,8925.5,0.0,5008925.5,HDFC_DEMO_009988,CREDIT
HO_BNK5066,HO_pay_5066,2026-08-18,2026-08-18,Settlement Discrepancy - HO_pay_5066,35200.0,0.0,5035200.0,HDFC_DEMO_009988,CREDIT
HO_BNK5075,NEFT_5075,2026-08-02,2026-08-02,Direct NEFT Credit from Customer 026 / HO_INV5075,25600.0,0.0,5025600.0,HDFC_DEMO_009988,CREDIT
HO_BNK5076,NEFT_5076,2026-08-03,2026-08-03,Direct NEFT Credit from Customer 027 / HO_INV5076,11600.0,0.0,5011600.0,HDFC_DEMO_009988,CREDIT
HO_BNK5077,NEFT_5077,2026-08-04,2026-08-04,Direct NEFT Credit from Customer 028 / HO_INV5077,13100.0,0.0,5013100.0,HDFC_DEMO_009988,CREDIT
HO_BNK5078,NEFT_5078,2026-08-05,2026-08-05,Direct NEFT Credit from Customer 029 / HO_INV5078,12900.0,0.0,5012900.0,HDFC_DEMO_009988,CREDIT
HO_BNK5079,NEFT_5079,2026-08-06,2026-08-06,Direct NEFT Credit from Customer 030 / HO_INV5079,48000.0,0.0,5048000.0,HDFC_DEMO_009988,CREDIT
HO_BNK5080,HO_pay_5080,2026-08-07,2026-08-07,Duplicate Charge Detected - HO_pay_5080,15400.0,0.0,5015400.0,HDFC_DEMO_009988,CREDIT
HO_BNK5081,HO_pay_5081,2026-08-08,2026-08-08,Duplicate Charge Detected - HO_pay_5081,15000.0,0.0,5015000.0,HDFC_DEMO_009988,CREDIT
HO_BNK5082,HO_pay_5082,2026-08-09,2026-08-09,Duplicate Charge Detected - HO_pay_5082,36700.0,0.0,5036700.0,HDFC_DEMO_009988,CREDIT
HO_BNK5083,HO_pay_5083,2026-08-10,2026-08-10,Duplicate Charge Detected - HO_pay_5083,19400.0,0.0,5019400.0,HDFC_DEMO_009988,CREDIT
HO_BNK5084,HO_pay_5084,2026-08-11,2026-08-11,Duplicate Charge Detected - HO_pay_5084,30700.0,0.0,5030700.0,HDFC_DEMO_009988,CREDIT
HO_BNK5085,HO_pay_5085,2026-08-29,2026-08-29,Delayed Settlement - HO_pay_5085,49200.0,0.0,5049200.0,HDFC_DEMO_009988,CREDIT
HO_BNK5086,HO_pay_5086,2026-08-30,2026-08-30,Delayed Settlement - HO_pay_5086,16400.0,0.0,5016400.0,HDFC_DEMO_009988,CREDIT
HO_BNK5087,HO_pay_5087,2026-08-31,2026-08-31,Delayed Settlement - HO_pay_5087,25800.0,0.0,5025800.0,HDFC_DEMO_009988,CREDIT
HO_BNK5088,HO_pay_5088,2026-09-01,2026-09-01,Delayed Settlement - HO_pay_5088,29000.0,0.0,5029000.0,HDFC_DEMO_009988,CREDIT
HO_BNK5089,HO_pay_5089,2026-09-02,2026-09-02,Delayed Settlement - HO_pay_5089,27500.0,0.0,5027500.0,HDFC_DEMO_009988,CREDIT
HO_BNK5090,HO_pay_509A,2026-08-17,2026-08-17,Razorpay Settlement Ref: HO_pay_509A Order HO_ORD5090,16200.0,0.0,5016200.0,HDFC_DEMO_009988,CREDIT
HO_BNK5091,HO_pay_509A,2026-08-18,2026-08-18,Razorpay Settlement Ref: HO_pay_509A Order HO_ORD5091,43000.0,0.0,5043000.0,HDFC_DEMO_009988,CREDIT
HO_BNK5092,HO_pay_509A,2026-08-19,2026-08-19,Razorpay Settlement Ref: HO_pay_509A Order HO_ORD5092,15900.0,0.0,5015900.0,HDFC_DEMO_009988,CREDIT
HO_BNK5093,HO_pay_509A,2026-08-20,2026-08-20,Razorpay Settlement Ref: HO_pay_509A Order HO_ORD5093,26700.0,0.0,5026700.0,HDFC_DEMO_009988,CREDIT
HO_BNK5094,HO_pay_509A,2026-08-21,2026-08-21,Razorpay Settlement Ref: HO_pay_509A Order HO_ORD5094,32600.0,0.0,5032600.0,HDFC_DEMO_009988,CREDIT
HO_BNK5095,HO_pay_5095,2026-08-22,2026-08-22,Partial Settlement - HO_pay_5095,27120.0,0.0,5027120.0,HDFC_DEMO_009988,CREDIT
HO_BNK5096,HO_pay_5096,2026-08-23,2026-08-23,Partial Settlement - HO_pay_5096,3060.0,0.0,5003060.0,HDFC_DEMO_009988,CREDIT
HO_BNK5097,HO_pay_5097,2026-08-24,2026-08-24,Partial Settlement - HO_pay_5097,10380.0,0.0,5010380.0,HDFC_DEMO_009988,CREDIT
HO_BNK5098,HO_pay_5098,2026-08-25,2026-08-25,Partial Settlement - HO_pay_5098,17760.0,0.0,5017760.0,HDFC_DEMO_009988,CREDIT
